"Category","Asset","Vendor","Version","Path","Evidence","RecommendedRole","AuthorityRecommendation","Notes","RiskIds"
"Project","Unity Editor","Unity","6000.4.10f1","ProjectSettings/ProjectVersion.txt","m_EditorVersion and revision","Editor/runtime baseline","Project baseline only","Revision feeafc12a938","R028"
"Unity Package","Universal Render Pipeline","Unity","17.4.0","Packages/manifest.json","manifest dependency","Rendering package","Needs explicit active RP asset","URP package installed but Graphics and Quality are not assigned","R001,R006"
"Unity Package","Input System","Unity","1.19.0","Packages/manifest.json","manifest dependency","Input package","Use through LWS/NWH adapter","Project also enables legacy Input Manager","R010"
"Unity Package","Splines","Unity","2.9.0","Packages/manifest.json","manifest dependency","Spline foundation","Used by Spline Spawner and River Modeler","Embedded packages expect older versions but lock resolves 2.9.0","R017,R018"
"Unity Package","AI Navigation","Unity","2.0.12","Packages/manifest.json","manifest dependency","Optional local nav helper","Not truck route authority","Compass NavMesh helper is not enough for highway routing","R022"
"Unity Package","Cinemachine","Unity","2.10.7","Packages/manifest.json","manifest dependency","Camera tooling","Optional camera layer","No project-owned camera authority found",""
"Unity Package","Post Processing","Unity","3.5.4","Packages/manifest.json","manifest dependency","Legacy post-processing support","Secondary to URP volumes","Project also has missing volume profile components","R003"
"Unity Package","Visual Effect Graph","Unity","17.4.0","Packages/manifest.json","manifest dependency","VFX support","Used by weather/water content","Requires render-pipeline validation","R001"
"Unity Package","UGUI","Unity","2.0.0","Packages/manifest.json","manifest dependency","UI foundation","Used by Heat, Compass, Pixel Crushers","Keep UI state project-owned",""
"Unity Package","Timeline","Unity","1.8.12","Packages/manifest.json","manifest dependency","Cinematic sequencing","Optional","No ownership risk found",""
"Unity Package","Visual Scripting","Unity","1.9.11","Packages/manifest.json","manifest dependency","Optional scripting support","No core authority","Dialogue System has optional support package only",""
"Vehicle","NWH Vehicle Physics 2","NWH Coding","13.6","Assets/NWH/Vehicle Physics 2","package metadata and namespaces","Player truck, drivetrain, clutch, trailers","Authoritative player vehicle physics","Use LWS adapters for input, transmission, save, trailer events","R010,R011,R012,R013,R021,R027"
"Vehicle","Wheel Controller 3D","NWH Coding","Included with NWH VP2 13.6; no separate marker found","Assets/NWH/WheelController","namespace NWH.WheelController3D","Wheel/tire physics","Low-level wheel authority under NWH","Do not replace with Unity WheelCollider for player truck","R013"
"Roads","EasyRoads3D Pro v3","EasyRoads3D","v3.2.4f5","Assets/EasyRoads3D","readme and metadata","Road authoring and road network data source","Authoritative road construction","Export into LWS road graph; avoid uncontrolled runtime terrain mutation","R008,R009,R015"
"Traffic","Urban Traffic System Full Pack","Gley/UTS package vendor metadata","2.0","Assets/UTS_FullPack","package metadata and scripts","Traffic, pedestrian, semaphore reference/content","Non-authoritative for player and routing","Uses WheelCollider, demo paths, tags, and its own trailer joint system","R013,R014"
